county,date,closures,incidents
Multnomah,2025-01-01,4,1
Multnomah,2025-02-01,3,4
Multnomah,2025-03-01,3,3
Lane,2025-01-01,3,2
Lane,2025-02-01,1,5
Lane,2025-03-01,2,2
Benton,2025-01-01,4,7
Benton,2025-02-01,0,4
Benton,2025-03-01,2,4
Jackson,2025-01-01,0,5
Jackson,2025-02-01,3,2
Jackson,2025-03-01,4,7
Deschutes,2025-01-01,1,5
Deschutes,2025-02-01,2,6
Deschutes,2025-03-01,5,2
Douglas,2025-01-01,2,3
Douglas,2025-02-01,4,5
Douglas,2025-03-01,1,2
Clackamas,2025-01-01,0,1
Clackamas,2025-02-01,0,2
Clackamas,2025-03-01,2,1
Marion,2025-01-01,3,3
Marion,2025-02-01,2,3
Marion,2025-03-01,3,4
Klamath,2025-01-01,4,4
Klamath,2025-02-01,6,3
Klamath,2025-03-01,2,4
Josephine,2025-01-01,3,5
Josephine,2025-02-01,3,6
Josephine,2025-03-01,2,6
